stud_number;first_name;last_name;gender;email;registration_date;payment_date;registration_fee;year
6432702;Maude;HALBERT;fille;maude.halbert@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
2092864;Renee;CHAUVIN;W;renee.chauvin@etudiant.univ-rennes1.fr;2021-10-22;2021-10-22;20.5;2022
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@etudiant.univ-rennes1.fr;2021-10-13;2021-10-13;20.5;2022
1535695;Monique;HARDOUIN;garçon;monique.hardouin@etudiant.univ-rennes1.fr;2021-10-02;2021-10-02;20.5;2022
9287286;Marco;BROSSAS;H;marco.brossas@etudiant.univ-rennes1.fr;2021-09-21;2021-09-21;20.5;2022
5390269;Philomène;DA SILVA;W;philomene.da silva@etudiant.univ-rennes1.fr;2021-10-17;2021-11-16;20.5;2022
3654438;Walter;LAVENIER;H;walter.lavenier@etudiant.univ-rennes1.fr;2021-09-30;2021-09-30;20.5;2022
4071677;Marie-Joëlle;DEROUET;F;marie-joelle.derouet@etudiant.univ-rennes1.fr;2021-10-18;2021-10-18;20.5;2022
7012052;Zahia;BACLE;fille;zahia.bacle@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
7092166;Jack;MAUXION;M;jack.mauxion@etudiant.univ-rennes1.fr;2021-09-14;2021-09-14;20.5;2022
785189;Philippe;POINTEAU;M;philippe.pointeau@etudiant.univ-rennes1.fr;2021-10-18;2021-10-18;20.5;2022
101046;Emmanuelle;DAGUIN;F;emmanuelle.daguin@etudiant.univ-rennes1.fr;2021-09-20;2021-10-20;20.5;2022
9061188;Omar;BERTAUD;H;omar.bertaud@etudiant.univ-rennes1.fr;2021-09-26;2021-10-26;20.5;2022
8486227;Marie-Michèle;PERRAULT;fille;marie-michele.perrault@etudiant.univ-rennes1.fr;2021-09-28;2021-09-28;20.5;2022
1542780;Peggy;GENDRY;W;peggy.gendry@etudiant.univ-rennes1.fr;2021-09-29;2021-09-29;20.5;2022
4207744;Gaby;PANNEAU;H;gaby.panneau@etudiant.univ-rennes1.fr;2021-09-19;2021-09-19;20.5;2022
6861454;Philip;MALINGE;garçon;philip.malinge@etudiant.univ-rennes1.fr;2021-10-13;2021-11-12;20.5;2022
8955635;Anne-Yvonne;LEBRUN;W;anne-yvonne.lebrun@etudiant.univ-rennes1.fr;2021-10-13;2021-10-13;20.5;2022
4433959;Marie-Helene;NOEL;F;marie-helene.noel@etudiant.univ-rennes1.fr;2021-10-18;2021-10-18;20.5;2022
1810422;Mireille;LEGER;fille;mireille.leger@etudiant.univ-rennes1.fr;2021-10-02;2021-10-02;20.5;2022
2355705;Jeannot;AUVINET;M;jeannot.auvinet@etudiant.univ-rennes1.fr;2021-09-30;2021-09-30;20.5;2022
9492774;Dorothée;PINARD;fille;dorothee.pinard@etudiant.univ-rennes1.fr;2021-09-27;2021-10-27;20.5;2022
2960755;Helmut;CHALOPIN;M;helmut.chalopin@etudiant.univ-rennes1.fr;2021-09-23;2021-09-23;20.5;2022
7145865;Fatma;COUVREUX;fille;fatma.couvreux@etudiant.univ-rennes1.fr;2021-10-22;2021-10-22;20.5;2022
3355919;Jean-Pol;BELNOU;M;jean-pol.belnou@etudiant.univ-rennes1.fr;2021-10-14;2021-10-14;20.5;2022
423898;Hafida;BOUGREAU;W;hafida.bougreau@etudiant.univ-rennes1.fr;2021-10-13;2021-11-12;20.5;2022
6813274;Marietta;VION;F;marietta.vion@etudiant.univ-rennes1.fr;2021-10-25;2021-10-25;20.5;2022
1175545;Jacki;BEZIE;garçon;jacki.bezie@etudiant.univ-rennes1.fr;2021-09-27;;20.5;2022
517862;Fleur;SECHER;fille;fleur.secher@etudiant.univ-rennes1.fr;2021-10-19;2021-11-18;20.5;2022
7231589;Jacob;BOURRIGAULT;M;jacob.bourrigault@etudiant.univ-rennes1.fr;2021-09-18;2021-09-18;20.5;2022
8147057;Florian;BEAUMONT;M;florian.beaumont@etudiant.univ-rennes1.fr;2021-10-08;2021-11-07;20.5;2022
1950948;Marinette;CERISIER;fille;marinette.cerisier@etudiant.univ-rennes1.fr;2021-10-11;2021-11-10;20.5;2022
7009087;Daniela;POILANE;fille;daniela.poilane@etudiant.univ-rennes1.fr;2021-10-17;2021-11-16;20.5;2022
2319720;Hocine;CUSSONNEAU;garçon;hocine.cussonneau@etudiant.univ-rennes1.fr;2021-09-19;2021-09-19;20.5;2022
8861766;Elvis;COSNARD;M;elvis.cosnard@etudiant.univ-rennes1.fr;2021-09-17;2021-10-17;20.5;2022
6424608;Marie-Lise;JOUAN;F;marie-lise.jouan@etudiant.univ-rennes1.fr;2021-10-03;2021-11-02;20.5;2022
7206006;Jérémy;DESGRE;M;jeremy.desgre@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
7903483;Marinella;COLAISSEAU;W;marinella.colaisseau@etudiant.univ-rennes1.fr;2021-09-25;2021-09-25;20.5;2022
5704838;Emmanuel;CHOLLET;garçon;emmanuel.chollet@etudiant.univ-rennes1.fr;2021-10-25;2021-10-25;20.5;2022
1641799;Jean;BRICARD;M;jean.bricard@etudiant.univ-rennes1.fr;2021-09-27;2021-10-27;20.5;2022
455099;Antoinette;PERRAULT;fille;antoinette.perrault@etudiant.univ-rennes1.fr;2021-10-11;2021-10-11;20.5;2022
4121585;Colombe;LENOGUE;fille;colombe.lenogue@etudiant.univ-rennes1.fr;2021-10-21;2021-11-20;20.5;2022
9695784;Conchita;ROHARD;F;conchita.rohard@etudiant.univ-rennes1.fr;2021-10-05;2021-10-05;20.5;2022
3946299;Alberto;DEVEAU;M;alberto.deveau@etudiant.univ-rennes1.fr;2021-10-04;2021-10-04;20.5;2022
4124362;Renee;GANNE;F;renee.ganne@etudiant.univ-rennes1.fr;2021-10-08;2021-10-08;20.5;2022
934964;Anny;VOISINE;fille;anny.voisine@etudiant.univ-rennes1.fr;2021-10-27;2021-11-26;20.5;2022
6876230;Bérénice;VRAIN;fille;berenice.vrain@etudiant.univ-rennes1.fr;2021-10-18;2021-10-18;20.5;2022
7224833;Mariannick;DERSOIR;F;mariannick.dersoir@etudiant.univ-rennes1.fr;2021-09-26;2021-09-26;20.5;2022
8261444;Anick;PICHAUD;W;anick.pichaud@etudiant.univ-rennes1.fr;2021-09-20;2021-10-20;20.5;2022
943508;Cyriaque;MECHIN;M;cyriaque.mechin@etudiant.univ-rennes1.fr;2021-09-18;2021-10-18;20.5;2022
4884321;Geneviève;BLON;M;genevieve.blon@etudiant.univ-rennes1.fr;2021-09-21;2021-09-21;20.5;2022
6136699;Aymeric;POIRIER;H;aymeric.poirier@etudiant.univ-rennes1.fr;2021-09-29;2021-09-29;20.5;2022
4631172;Hamid;ALLUSSE;H;hamid.allusse@etudiant.univ-rennes1.fr;2021-10-19;2021-11-18;20.5;2022
455954;Florian;DIDIER;H;florian.didier@etudiant.univ-rennes1.fr;2021-10-05;2021-11-04;20.5;2022
3079755;Marie-Therese;RIBAULT;W;marie-therese.ribault@etudiant.univ-rennes1.fr;2021-10-02;2021-11-01;20.5;2022
3887446;Yolène;FRUCHET;F;yolene.fruchet@etudiant.univ-rennes1.fr;2021-09-19;2021-10-19;20.5;2022
2284632;Jean-Hervé;DA SILVA;H;jean-herve.da silva@etudiant.univ-rennes1.fr;2021-10-22;2021-11-21;20.5;2022
2605131;Romain;BLANCHARD;H;romain.blanchard@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
102166;Jean-Richard;LEMESLE;M;jean-richard.lemesle@etudiant.univ-rennes1.fr;2021-10-10;2021-10-10;20.5;2022
6119439;Alison;CONSTANTIN;fille;alison.constantin@etudiant.univ-rennes1.fr;2021-10-20;2021-10-20;20.5;2022
375023;Honoré;LIVACHE;M;honore.livache@etudiant.univ-rennes1.fr;2021-09-30;2021-09-30;20.5;2022
4493579;Karine;MAINDRON;garçon;karine.maindron@etudiant.univ-rennes1.fr;2021-10-05;2021-10-05;20.5;2022
9483832;Carmelo;BARBIN;M;carmelo.barbin@etudiant.univ-rennes1.fr;2021-10-16;2021-11-15;20.5;2022
6360966;Eddie;PELLUAU;garçon;eddie.pelluau@etudiant.univ-rennes1.fr;2021-10-01;2021-10-01;20.5;2022
8171384;Thérèse-Marie;PICARD;fille;therese-marie.picard@etudiant.univ-rennes1.fr;2021-10-19;2021-10-19;20.5;2022
9896491;Raphaelle;BUSSON;fille;raphaelle.busson@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
5879679;Siméon;CHATAIGNER;garçon;simeon.chataigner@etudiant.univ-rennes1.fr;2021-10-19;2021-10-19;20.5;2022
3280740;Emilienne;BRANCHU;W;emilienne.branchu@etudiant.univ-rennes1.fr;2021-09-15;2021-09-15;20.5;2022
1173540;Karin;GENTILHOMME;W;karin.gentilhomme@etudiant.univ-rennes1.fr;2021-09-21;2021-09-21;20.5;2022
8200792;David;MAILLET;W;david.maillet@etudiant.univ-rennes1.fr;2021-10-09;2021-10-09;20.5;2022
6124965;Marie Jeanne;RICHE;F;marie jeanne.riche@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
1696413;Pierre André;LIZE;M;pierre andre.lize@etudiant.univ-rennes1.fr;2021-09-17;2021-09-17;20.5;2022
697403;Romuald;ROCHAIS;garçon;romuald.rochais@etudiant.univ-rennes1.fr;2021-10-10;2021-10-10;20.5;2022
2338037;Anicet;PAUL;garçon;anicet.paul@etudiant.univ-rennes1.fr;2021-10-10;2021-11-09;20.5;2022
7076940;Michele;FAUCHARD;M;michele.fauchard@etudiant.univ-rennes1.fr;2021-09-30;2021-09-30;20.5;2022
5559063;Magali;BLAITEAU;M;magali.blaiteau@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
9419114;Cedric;FOULON;H;cedric.foulon@etudiant.univ-rennes1.fr;2021-09-24;2021-10-24;20.5;2022
8851085;Coralie;LATTE;W;coralie.latte@etudiant.univ-rennes1.fr;2021-10-23;2021-10-23;20.5;2022
1829605;Ariane;BOULLAIS;W;ariane.boullais@etudiant.univ-rennes1.fr;2021-10-18;2021-10-18;20.5;2022
7779709;Valerie;FRAQUET;H;valerie.fraquet@etudiant.univ-rennes1.fr;2021-09-19;;20.5;2022
7889033;Coralie;CHEVET;W;coralie.chevet@etudiant.univ-rennes1.fr;2021-09-24;2021-09-24;20.5;2022
6734111;Théo;DELARUE;M;theo.delarue@etudiant.univ-rennes1.fr;2021-10-20;2021-10-20;20.5;2022
4131535;Marie-Alice;LEGRAND;W;marie-alice.legrand@etudiant.univ-rennes1.fr;2021-09-21;2021-09-21;20.5;2022
5970331;Maryvonne;FOUGERE;W;maryvonne.fougere@etudiant.univ-rennes1.fr;2021-09-18;2021-09-18;20.5;2022
9302400;Karim;NAULEAU;H;karim.nauleau@etudiant.univ-rennes1.fr;2021-10-01;2021-10-01;20.5;2022
1178592;Christine;PROUST;H;christine.proust@etudiant.univ-rennes1.fr;2021-10-14;2021-10-14;20.5;2022
8132386;Mounir;HERBERT;garçon;mounir.herbert@etudiant.univ-rennes1.fr;2021-10-23;2021-10-23;20.5;2022
2077845;Fatiha;TESSIER;W;fatiha.tessier@etudiant.univ-rennes1.fr;2021-10-27;2021-10-27;20.5;2022
2319635;Jean-Maurice;RAGUENEAU;H;jean-maurice.ragueneau@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
4244014;Thiery;LECLAIR;M;thiery.leclair@etudiant.univ-rennes1.fr;2021-09-18;2021-09-18;20.5;2022
8466471;Augustin;NOURRY;M;augustin.nourry@etudiant.univ-rennes1.fr;2021-09-20;2021-10-20;20.5;2022
8573060;Khadija;DOLLET;fille;khadija.dollet@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
5855802;Franca;PLUMEJEAU;F;franca.plumejeau@etudiant.univ-rennes1.fr;2021-09-26;2021-09-26;20.5;2022
2708101;Jean-Marie;TAVEAU;garçon;jean-marie.taveau@etudiant.univ-rennes1.fr;2021-10-07;2021-11-06;20.5;2022
4988197;Dorothee;FEVRIER;F;dorothee.fevrier@etudiant.univ-rennes1.fr;2021-10-11;2021-10-11;20.5;2022
93782;Suzanne;AUBRY;H;suzanne.aubry@etudiant.univ-rennes1.fr;2021-10-11;2021-11-10;20.5;2022
8156351;Eugène;ANDRE;M;eugene.andre@etudiant.univ-rennes1.fr;2021-09-26;2021-09-26;20.5;2022
5749366;Marie-Angèle;RIVRON;W;marie-angele.rivron@etudiant.univ-rennes1.fr;2021-09-23;2021-10-23;20.5;2022
4049619;Anne-Charlotte;TURPIN;W;anne-charlotte.turpin@etudiant.univ-rennes1.fr;2021-09-29;2021-09-29;20.5;2022
8018418;Marianne;GALLET;M;marianne.gallet@etudiant.univ-rennes1.fr;2021-10-14;2021-10-14;20.5;2022
4226631;Thierry;MIGNOT;M;thierry.mignot@etudiant.univ-rennes1.fr;2021-09-16;2021-09-16;20.5;2022
6032026;Guylène;MORIN;F;guylene.morin@etudiant.univ-rennes1.fr;2021-10-05;2021-11-04;20.5;2022
9921861;Sylvestre;DEVY;H;sylvestre.devy@etudiant.univ-rennes1.fr;2021-10-04;2021-11-03;20.5;2022
5224127;Ernestine;BELANGER;F;ernestine.belanger@etudiant.univ-rennes1.fr;2021-09-18;2021-10-18;20.5;2022
4022307;Corine;HOMER;fille;corine.homer@etudiant.univ-rennes1.fr;2021-10-01;2021-10-01;20.5;2022
9629022;Cendrine;BOURBON;fille;cendrine.bourbon@etudiant.univ-rennes1.fr;2021-09-23;2021-09-23;20.5;2022
378085;Prosper;HUCHON;H;prosper.huchon@etudiant.univ-rennes1.fr;2021-10-02;2021-10-02;20.5;2022
7183635;Marie-Jeanne;DUBREUIL;garçon;marie-jeanne.dubreuil@etudiant.univ-rennes1.fr;2021-09-22;2021-10-22;20.5;2022
8667146;Jeremy;AUBINEAU;H;jeremy.aubineau@etudiant.univ-rennes1.fr;2021-09-30;2021-10-30;20.5;2022
6218844;Meriem;CHUDEAU;W;meriem.chudeau@etudiant.univ-rennes1.fr;2021-10-22;2021-10-22;20.5;2022
8449224;Ahmed;LHERMITEAU;H;ahmed.lhermiteau@etudiant.univ-rennes1.fr;2021-10-15;2021-10-15;20.5;2022
6066463;Janick;COUDERT;W;janick.coudert@etudiant.univ-rennes1.fr;2021-10-20;2021-11-19;20.5;2022
7367140;Joël;GRIFFON;fille;joel.griffon@etudiant.univ-rennes1.fr;2021-09-17;2021-09-17;20.5;2022
5654485;Rachel;CLAUDE;M;rachel.claude@etudiant.univ-rennes1.fr;2021-09-22;2021-09-22;20.5;2022
6223280;Martial;FRETTE;M;martial.frette@etudiant.univ-rennes1.fr;2021-09-26;2021-09-26;20.5;2022
9754036;Dorothée;BIENVENU;W;dorothee.bienvenu@etudiant.univ-rennes1.fr;2021-09-28;2021-10-28;20.5;2022
7279332;Lorène;TREMBLAY;W;lorene.tremblay@etudiant.univ-rennes1.fr;2021-10-10;2021-10-10;20.5;2022
8559938;Rose-May;CRESPIN;W;rose-may.crespin@etudiant.univ-rennes1.fr;2021-10-13;2021-11-12;20.5;2022
8298694;Diego;PETIT;H;diego.petit@etudiant.univ-rennes1.fr;2021-09-22;2021-09-22;20.5;2022
8113264;Georges;TRICOT;garçon;georges.tricot@etudiant.univ-rennes1.fr;2021-09-27;2021-09-27;20.5;2022
7469007;Stephane;UZUREAU;garçon;stephane.uzureau@etudiant.univ-rennes1.fr;2021-09-22;2021-09-22;20.5;2022
3060112;Guilhem;DELAPORTE;garçon;guilhem.delaporte@etudiant.univ-rennes1.fr;2021-10-20;2021-10-20;20.5;2022
9325041;Magalie;BAZANTE;F;magalie.bazante@etudiant.univ-rennes1.fr;2021-09-24;2021-10-24;20.5;2022
3614841;Jeanne Marie;HERY;F;jeanne marie.hery@etudiant.univ-rennes1.fr;2021-10-09;2021-10-09;20.5;2022
7095740;Flora;HUBAULT;fille;flora.hubault@etudiant.univ-rennes1.fr;2021-10-23;2021-11-22;20.5;2022
660365;Annabel;CROSNIER;fille;annabel.crosnier@etudiant.univ-rennes1.fr;2021-10-26;;20.5;2022
3339188;Marie-Elisabeth;VIVION;W;marie-elisabeth.vivion@etudiant.univ-rennes1.fr;2021-09-18;2021-09-18;20.5;2022
5810703;Severine;REBONDY;W;severine.rebondy@etudiant.univ-rennes1.fr;2021-10-16;2021-10-16;20.5;2022
3826518;Gina;BELANGER;W;gina.belanger@etudiant.univ-rennes1.fr;2021-10-06;;20.5;2022
2883408;Fernando;BENARD;M;fernando.benard@etudiant.univ-rennes1.fr;2021-10-13;2021-10-13;20.5;2022
9437095;Werner;HULLIN;M;werner.hullin@etudiant.univ-rennes1.fr;2021-09-16;2021-09-16;20.5;2022
5744405;Lisette;JOURDAIN;fille;lisette.jourdain@etudiant.univ-rennes1.fr;2021-09-25;2021-09-25;20.5;2022
9405837;Marinette;JURET;W;marinette.juret@etudiant.univ-rennes1.fr;2021-10-18;2021-10-18;20.5;2022
3500040;Frédérique;EVAIN;fille;frederique.evain@etudiant.univ-rennes1.fr;2021-10-05;2021-11-04;20.5;2022
5679002;Solenne;BLANCHARD;W;solenne.blanchard@etudiant.univ-rennes1.fr;2021-10-26;2021-11-25;20.5;2022
9094742;Thérèse-Marie;THOMAS;F;therese-marie.thomas@etudiant.univ-rennes1.fr;2021-09-20;2021-09-20;20.5;2022
7489903;Davy;ALEXANDRE;M;davy.alexandre@etudiant.univ-rennes1.fr;2021-09-24;2021-09-24;20.5;2022
9413847;Tamara;CHOLET;fille;tamara.cholet@etudiant.univ-rennes1.fr;2021-09-23;2021-10-23;20.5;2022
7311187;Hugo;DESHAYES;M;hugo.deshayes@etudiant.univ-rennes1.fr;2021-10-12;2021-10-12;20.5;2022
8203047;Désiré;POTTIER;H;desire.pottier@etudiant.univ-rennes1.fr;2021-10-24;2021-10-24;20.5;2022
5928897;Assia;TELLIER;F;assia.tellier@etudiant.univ-rennes1.fr;2021-09-20;;20.5;2022
8687526;Sylvine;CHEVET;W;sylvine.chevet@etudiant.univ-rennes1.fr;2021-10-05;2021-10-05;20.5;2022
3411639;Annaïck;CRETIN;F;annaick.cretin@etudiant.univ-rennes1.fr;2021-10-21;2021-11-20;20.5;2022
8516750;Irénée;DEVEAU;garçon;irenee.deveau@etudiant.univ-rennes1.fr;2021-10-10;2021-11-09;20.5;2022
