stud_number;first_name;last_name;gender;email;stud_role;asso_name;asso_desc
3654631;Noëlle;BLOT;M;noelle.blot@etudiant.univ-rennes1.fr;treasurer;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
5500184;Christianne;BIOTTEAU;W;christianne.biotteau@etudiant.univ-rennes1.fr;president;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
9396096;Claude;MAROT;F;claude.marot@etudiant.univ-rennes1.fr;vice-president;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
5654485;Rachel;CLAUDE;M;rachel.claude@etudiant.univ-rennes1.fr;secretary;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
3434843;Laure;BOISSINOT;fille;laure.boissinot@etudiant.univ-rennes1.fr;treasurer;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
2960755;Helmut;CHALOPIN;M;helmut.chalopin@etudiant.univ-rennes1.fr;president;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
5928897;Assia;TELLIER;F;assia.tellier@etudiant.univ-rennes1.fr;vice-president;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
5679520;Ismaël;DIXNEUF;M;ismael.dixneuf@etudiant.univ-rennes1.fr;secretary;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7848592;Jean-Max;RIOU;M;jean-max.riou@etudiant.univ-rennes1.fr;treasurer;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
5744405;Lisette;JOURDAIN;fille;lisette.jourdain@etudiant.univ-rennes1.fr;president;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
8132386;Mounir;HERBERT;garçon;mounir.herbert@etudiant.univ-rennes1.fr;vice-president;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
1125045;Chantale;ROGER;W;chantale.roger@etudiant.univ-rennes1.fr;secretary;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
1865983;Jean-Léon;CHEREAU;H;jean-leon.chereau@etudiant.univ-rennes1.fr;treasurer;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
8788150;Elizabeth;PERRAULT;F;elizabeth.perrault@etudiant.univ-rennes1.fr;president;Club Conférence;club qui organise des conférences 
8573060;Khadija;DOLLET;fille;khadija.dollet@etudiant.univ-rennes1.fr;vice-president;Club Conférence;club qui organise des conférences 
982945;Romaric;ESNARD;M;romaric.esnard@etudiant.univ-rennes1.fr;secretary;Club Conférence;club qui organise des conférences 
168621;Leïla;JURET;fille;leila.juret@etudiant.univ-rennes1.fr;treasurer;Club Conférence;club qui organise des conférences 
248790;Isidore;ROSSIGNOL;H;isidore.rossignol@etudiant.univ-rennes1.fr;president;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
254339;Omar;BODIN;garçon;omar.bodin@etudiant.univ-rennes1.fr;vice-president;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
9535159;Louis;DESBOIS;M;louis.desbois@etudiant.univ-rennes1.fr;secretary;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
5970331;Maryvonne;FOUGERE;W;maryvonne.fougere@etudiant.univ-rennes1.fr;treasurer;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
4720458;Godefroy;CHENE;garçon;godefroy.chene@etudiant.univ-rennes1.fr;president;Club Apero;
3043614;Dany;LIGER;H;dany.liger@etudiant.univ-rennes1.fr;vice-president;Club Apero;
7231589;Jacob;BOURRIGAULT;M;jacob.bourrigault@etudiant.univ-rennes1.fr;secretary;Club Apero;
3635356;Jean Toussaint;MICHELET;H;jean toussaint.michelet@etudiant.univ-rennes1.fr;treasurer;Club Apero;
4035655;Michéle;MAILLARD;W;michele.maillard@etudiant.univ-rennes1.fr;president;Club Danse;
494042;Katell;PAYRAUDEAU;F;katell.payraudeau@etudiant.univ-rennes1.fr;vice-president;Club Danse;
2206687;Marie Paule;GODEFROY;F;marie paule.godefroy@etudiant.univ-rennes1.fr;secretary;Club Danse;
101046;Emmanuelle;DAGUIN;F;emmanuelle.daguin@etudiant.univ-rennes1.fr;treasurer;Club Danse;
7997977;Eva;SORIN;fille;eva.sorin@etudiant.univ-rennes1.fr;president;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
2883408;Fernando;BENARD;M;fernando.benard@etudiant.univ-rennes1.fr;vice-president;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
3724573;Ruddy;BARBAULT;M;ruddy.barbault@etudiant.univ-rennes1.fr;secretary;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
2982167;Edouard;DALAINE;M;edouard.dalaine@etudiant.univ-rennes1.fr;treasurer;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
7719175;Eliane;CHOISNE;M;eliane.choisne@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
7719175;Eliane;CHOISNE;M;eliane.choisne@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7719175;Eliane;CHOISNE;M;eliane.choisne@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7208231;Florian;COEFFARD;M;florian.coeffard@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7208231;Florian;COEFFARD;M;florian.coeffard@etudiant.univ-rennes1.fr;member;Club Apero;
7208231;Florian;COEFFARD;M;florian.coeffard@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
5876984;Jacob;ROUSSIERE;garçon;jacob.roussiere@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7874799;Timothée;COUILLAUD;H;timothee.couillaud@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
7874799;Timothée;COUILLAUD;H;timothee.couillaud@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
7874799;Timothée;COUILLAUD;H;timothee.couillaud@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
2321657;Léonie;RELION;F;leonie.relion@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
1056327;Prosper;FERRON;H;prosper.ferron@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
1056327;Prosper;FERRON;H;prosper.ferron@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
1056327;Prosper;FERRON;H;prosper.ferron@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@etudiant.univ-rennes1.fr;member;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
2357186;Marie-Helene;COUVREUR;W;marie-helene.couvreur@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
8298259;Béatrix;CHOISNET;fille;beatrix.choisnet@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7085217;Geneviève;RAGUIN;W;genevieve.raguin@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
7085217;Geneviève;RAGUIN;W;genevieve.raguin@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7085217;Geneviève;RAGUIN;W;genevieve.raguin@etudiant.univ-rennes1.fr;member;Club Danse;
2542500;Karl;ANIS;H;karl.anis@etudiant.univ-rennes1.fr;member;Club Danse;
6060655;Gina;GUILLEMET;fille;gina.guillemet@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
3656441;Camille;BOUET;garçon;camille.bouet@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
8264456;Juliette;RENOUX;F;juliette.renoux@etudiant.univ-rennes1.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
8264456;Juliette;RENOUX;F;juliette.renoux@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@etudiant.univ-rennes1.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
2199095;Marie-Bernadette;PERRON;fille;marie-bernadette.perron@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
3808222;Frantz;REVERDY;M;frantz.reverdy@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
3808222;Frantz;REVERDY;M;frantz.reverdy@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
3808222;Frantz;REVERDY;M;frantz.reverdy@etudiant.univ-rennes1.fr;member;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
1443127;Marie-Céline;DENECHERE;fille;marie-celine.denechere@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
8841242;Françoise;BOUDIER;M;francoise.boudier@etudiant.univ-rennes1.fr;member;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
1548313;Claude;PAULEAU;F;claude.pauleau@etudiant.univ-rennes1.fr;member;Club Apero;
1548313;Claude;PAULEAU;F;claude.pauleau@etudiant.univ-rennes1.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
1548313;Claude;PAULEAU;F;claude.pauleau@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
7812504;Steeve;LUCAS;H;steeve.lucas@etudiant.univ-rennes1.fr;member;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
7812504;Steeve;LUCAS;H;steeve.lucas@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7812504;Steeve;LUCAS;H;steeve.lucas@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
6684033;Nicole;PREZELIN;M;nicole.prezelin@etudiant.univ-rennes1.fr;member;Club Apero;
6684033;Nicole;PREZELIN;M;nicole.prezelin@etudiant.univ-rennes1.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
6987488;Lise-Marie;BEAUMIER;W;lise-marie.beaumier@etudiant.univ-rennes1.fr;member;Club Danse;
1489259;Marie-Joelle;HAMON;fille;marie-joelle.hamon@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
1816455;Guy;GEFFARD;M;guy.geffard@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
1816455;Guy;GEFFARD;M;guy.geffard@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
1816455;Guy;GEFFARD;M;guy.geffard@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
9419081;Arnauld;MESNARD;garçon;arnauld.mesnard@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
4142842;Jean-José;BONNEAU;M;jean-jose.bonneau@etudiant.univ-rennes1.fr;member;Club Apero;
2492393;Moussa;LEMOINE;H;moussa.lemoine@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
2492393;Moussa;LEMOINE;H;moussa.lemoine@etudiant.univ-rennes1.fr;member;Club Danse;
2492393;Moussa;LEMOINE;H;moussa.lemoine@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7552324;Huguette;LAMBERT;W;huguette.lambert@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7552324;Huguette;LAMBERT;W;huguette.lambert@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
1143077;Stéphane;BOISTAULT;F;stephane.boistault@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
1143077;Stéphane;BOISTAULT;F;stephane.boistault@etudiant.univ-rennes1.fr;member;Club Apero;
3654729;Cendrine;GOHIER;F;cendrine.gohier@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
3654729;Cendrine;GOHIER;F;cendrine.gohier@etudiant.univ-rennes1.fr;member;Club Apero;
3654729;Cendrine;GOHIER;F;cendrine.gohier@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@etudiant.univ-rennes1.fr;member;Club Danse;
6838348;Jean-Charles;LEBRUN;H;jean-charles.lebrun@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
7272063;Valérie;MAILLOCHON;fille;valerie.maillochon@etudiant.univ-rennes1.fr;member;Club Danse;
4726982;Doris;LANDRY;fille;doris.landry@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
7339596;Najia;ALIGON;W;najia.aligon@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
6949831;Edwige;CHATEIGNER;F;edwige.chateigner@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
6949831;Edwige;CHATEIGNER;F;edwige.chateigner@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
7930059;Marianne;LE GAL;H;marianne.le gal@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
7930059;Marianne;LE GAL;H;marianne.le gal@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
1704351;Inès;﻿MARTIN;fille;ines.martin@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
1704351;Inès;﻿MARTIN;fille;ines.martin@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
138039;Helen;COIFFARD;fille;helen.coiffard@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
138039;Helen;COIFFARD;fille;helen.coiffard@etudiant.univ-rennes1.fr;member;Club Apero;
138039;Helen;COIFFARD;fille;helen.coiffard@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
7971456;Salim;GRIFFON;M;salim.griffon@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7971456;Salim;GRIFFON;M;salim.griffon@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
1119943;Maude;ALGOURDIN;fille;maude.algourdin@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
1119943;Maude;ALGOURDIN;fille;maude.algourdin@etudiant.univ-rennes1.fr;member;Club Apero;
7467470;Helga;GERNIGON;F;helga.gernigon@etudiant.univ-rennes1.fr;member;Club Apero;
7467470;Helga;GERNIGON;F;helga.gernigon@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
7467470;Helga;GERNIGON;F;helga.gernigon@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
3479955;Marie-Elisabeth;RAVARY;F;marie-elisabeth.ravary@etudiant.univ-rennes1.fr;member;Club Danse;
3479955;Marie-Elisabeth;RAVARY;F;marie-elisabeth.ravary@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
6393605;Huguette;BOURBON;W;huguette.bourbon@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
6507216;Paul-André;LEFEVRE;H;paul-andre.lefevre@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
6507216;Paul-André;LEFEVRE;H;paul-andre.lefevre@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@etudiant.univ-rennes1.fr;member;Club Danse;
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
4239662;Ursula;LHERBETTE;fille;ursula.lherbette@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
5089004;Vincenza;DELAHAIE;fille;vincenza.delahaie@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
975616;Ghislaine;GUIARD;garçon;ghislaine.guiard@etudiant.univ-rennes1.fr;member;Club Danse;
975616;Ghislaine;GUIARD;garçon;ghislaine.guiard@etudiant.univ-rennes1.fr;member;Club Apero;
8099037;Maïté;BARAUD;W;maite.baraud@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
9976281;Jean-Richard;RAPICAULT;M;jean-richard.rapicault@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
6768024;Ida;DAVIAU;F;ida.daviau@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
145894;Marie Noelle;COSTE;fille;marie noelle.coste@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
145894;Marie Noelle;COSTE;fille;marie noelle.coste@etudiant.univ-rennes1.fr;member;Club Danse;
145894;Marie Noelle;COSTE;fille;marie noelle.coste@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
8775967;Claudio;ROUILLE;M;claudio.rouille@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
8775967;Claudio;ROUILLE;M;claudio.rouille@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
8775967;Claudio;ROUILLE;M;claudio.rouille@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
6558582;Marie-Line;CHARPENTIER;F;marie-line.charpentier@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
34297;Marie-Astrid;TROST;F;marie-astrid.trost@etudiant.univ-rennes1.fr;member;Club Musique;club où les étudiants qui se réunissent avec leur instrument, ou non, afin de jouer de la musique.
34297;Marie-Astrid;TROST;F;marie-astrid.trost@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
34297;Marie-Astrid;TROST;F;marie-astrid.trost@etudiant.univ-rennes1.fr;member;Club Apero;
6432702;Maude;HALBERT;fille;maude.halbert@etudiant.univ-rennes1.fr;member;Club Roll&Draw; de projets étudiants développant applications, jeux et tous les types de jeux de société.
6432702;Maude;HALBERT;fille;maude.halbert@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@etudiant.univ-rennes1.fr;member;EsirBEP;association venant en aide aux élèves à besoins éducatifs particuliers
7327945;Dolorès;GAUGAIN;fille;dolores.gaugain@etudiant.univ-rennes1.fr;member;Club Kulture;club d'échanges autour des diverses cultures étrangères représentées à l'ESIR.
9287286;Marco;BROSSAS;H;marco.brossas@etudiant.univ-rennes1.fr;member;BDE;représente les élèves de l'ESIR auprès de la direction et coordonne la vie associative sur le campus
9287286;Marco;BROSSAS;H;marco.brossas@etudiant.univ-rennes1.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
9287286;Marco;BROSSAS;H;marco.brossas@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
5390269;Philomène;DA SILVA;W;philomene.da silva@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
5390269;Philomène;DA SILVA;W;philomene.da silva@etudiant.univ-rennes1.fr;member;Club Conférence;club qui organise des conférences 
5390269;Philomène;DA SILVA;W;philomene.da silva@etudiant.univ-rennes1.fr;member;Club ESIR Esport;club de jeux vidéos avec des équipes Esiriennes qui jouent lors de challenges.
3654438;Walter;LAVENIER;H;walter.lavenier@etudiant.univ-rennes1.fr;member;Club Apero;
3654438;Walter;LAVENIER;H;walter.lavenier@etudiant.univ-rennes1.fr;member;Club Danse;
3654438;Walter;LAVENIER;H;walter.lavenier@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
4071677;Marie-Joëlle;DEROUET;F;marie-joelle.derouet@etudiant.univ-rennes1.fr;member;Club japonnais Shiro Kitsune; club d'apprentissage de la langue et de la culture japonaise.
